,Avg. sheep,Avg. wolves
0,125.25,91.52
1,136.85,110.37
2,125.98,84.5
3,136.46,106.76
4,284.34,55.39
5,99.84,59.25
6,181.33,67.49
7,185.57,23.92
8,189.64,28.34
9,201.79,19.85
10,125.68,40.3
11,206.15,35.1
12,140.74,24.86
13,200.75,18.04
14,88.4,25.16
15,94.23,18.85
16,106.78,20.73
17,84.13,22.12
18,93.95,24.01
19,86.27,21.18
20,96.47,17.55
21,89.47,33.48
22,79.77,28.99
23,96.3,31.62
24,95.34,14.13
25,90.14,35.05
26,85.77,33.15
27,92.28,32.54
28,268.47,98.38
29,273.26,108.06
30,228.5,119.96
31,160.51,80.49
32,281.85,98.71
33,251.41,176.09
34,185.74,161.04
35,178.72,136.76
36,147.59,136.39
37,255.46,213.93
38,158.98,151.92
39,162.31,98.8
40,190.84,98.07
41,160.36,143.34
42,114.5,25.32
43,98.05,37.33
44,131.61,22.48
45,131.52,35.94
46,117.77,30.28
47,147.24,48.33
48,143.04,24.06
49,251.06,52.49
50,244.76,47.18
51,172.44,37.18
52,260.71,59.82
53,159.15,28.0
54,214.07,85.2
55,263.01,49.24
56,110.41,24.18
57,121.0,27.37
58,150.08,31.35
59,171.13,48.72
60,111.56,39.1
61,148.64,54.75
62,131.24,19.69
63,261.2,118.73
64,226.9,88.02
65,185.29,76.73
66,272.75,93.63
67,171.25,51.59
68,176.22,220.18
69,263.95,109.99
70,178.37,132.19
71,195.62,106.71
72,197.93,150.27
73,211.86,149.51
74,220.78,85.93
75,154.61,118.67
76,149.32,176.64
77,295.41,79.79
78,281.71,62.73
79,258.42,72.85
80,164.89,157.47
81,263.89,144.73
82,296.52,82.13
83,286.37,92.94
84,303.51,42.31
85,288.2,50.26
86,221.32,44.87
87,370.76,59.08
88,286.78,53.17
89,181.05,22.93
90,228.81,106.67
91,195.79,51.04
92,163.98,76.46
93,131.38,54.37
94,243.4,34.77
95,192.19,174.92
96,218.12,50.74
97,159.35,61.21
98,200.25,105.4
99,221.74,113.45
100,204.81,127.8
101,109.74,36.59
102,151.87,127.87
103,215.28,173.97
104,230.82,77.56
105,120.79,77.1
106,114.41,59.7
107,218.61,206.77
108,150.45,46.98
109,117.29,60.57
110,139.72,72.2
111,133.04,72.84
112,127.79,24.63
113,130.71,29.62
114,93.15,22.34
115,122.68,19.46
116,121.08,36.28
117,129.8,27.56
118,132.46,19.63
119,81.04,22.73
120,118.64,34.17
121,97.97,22.35
122,86.89,23.29
123,90.06,20.1
124,88.67,21.36
125,89.57,21.32
126,86.22,76.81
127,93.4,74.84
128,101.87,80.13
129,76.92,76.0
130,132.57,63.57
131,121.22,108.59
132,96.78,75.67
133,119.25,97.17
134,108.26,94.5
135,108.5,101.87
136,104.25,105.53
137,108.7,67.41
138,100.35,77.35
139,116.54,103.47
140,176.88,51.81
141,196.11,50.14
142,210.44,61.31
143,246.93,82.3
144,150.9,87.65
145,190.74,59.58
146,176.68,68.96
147,168.64,193.0
148,133.87,175.93
149,135.23,141.27
150,235.43,184.82
151,136.75,167.32
152,246.12,134.4
153,136.62,159.98
154,280.55,95.8
155,302.52,80.03
156,351.03,69.78
157,170.35,55.31
158,325.61,58.11
159,296.65,83.05
160,199.99,204.06
161,191.28,56.14
162,162.14,54.25
163,266.72,151.68
164,178.7,88.08
165,203.38,40.75
166,200.45,43.24
167,191.14,61.82
168,261.27,162.41
169,258.56,199.79
170,269.96,194.01
171,299.64,205.29
172,235.33,200.62
173,207.52,92.57
174,266.17,176.91
175,201.19,104.43
176,175.47,100.8
177,173.83,107.24
178,262.54,96.8
179,273.01,261.71
180,205.81,109.01
181,194.93,93.3
182,144.23,22.51
183,140.3,24.87
184,140.49,33.54
185,204.08,52.18
186,128.38,40.52
187,143.83,26.41
188,136.39,24.53
189,187.17,98.9
190,159.16,102.09
191,137.46,52.11
192,204.82,74.17
193,186.76,79.89
194,169.87,118.39
195,169.76,116.37
196,138.63,117.94
197,141.31,99.61
198,127.0,109.6
199,99.63,65.63
200,276.01,66.27
201,194.17,254.46
202,148.1,124.21
203,129.83,20.37
204,200.32,31.94
205,264.96,100.06
206,103.96,71.85
207,129.63,18.18
208,133.55,24.01
209,137.21,19.33
210,243.81,58.75
211,226.87,70.43
212,248.03,68.64
213,295.71,78.99
214,212.65,74.69
215,166.13,31.55
216,230.7,64.81
217,168.28,42.77
218,186.47,40.07
219,166.13,42.81
220,177.34,34.59
221,333.83,65.15
222,200.33,42.01
223,194.21,41.62
224,214.01,21.11
225,239.61,21.1
226,214.91,21.25
227,214.12,20.9
228,201.05,32.54
229,239.78,18.38
230,175.6,26.32
231,190.55,22.91
232,246.99,27.57
233,181.78,32.35
234,207.71,26.28
235,187.13,30.18
236,174.19,31.34
237,181.78,32.35
238,159.34,101.86
239,149.77,115.13
240,173.59,106.28
241,156.3,107.24
242,163.19,122.66
243,151.34,101.53
244,196.19,79.85
245,144.15,117.7
246,176.6,96.68
247,156.97,118.54
248,136.82,115.28
249,151.56,146.89
250,166.64,117.15
251,167.52,122.6
252,217.02,223.88
253,235.97,211.21
254,218.69,128.0
255,188.2,85.45
256,145.73,300.72
257,271.23,204.07
258,221.69,227.02
259,107.53,107.21
260,116.97,177.46
261,124.97,244.17
262,140.43,46.94
263,109.31,115.69
264,117.85,110.62
265,117.13,105.38
266,123.4,55.81
267,132.47,66.39
268,146.44,57.9
269,208.02,77.89
270,146.45,50.1
271,103.34,57.97
272,129.33,53.46
273,219.32,69.52
274,213.58,77.85
275,159.9,41.68
276,166.85,80.86
277,203.59,71.21
278,228.04,75.78
279,221.46,76.18
280,194.29,76.03
281,219.32,89.57
282,133.66,87.46
283,145.38,50.58
284,206.39,85.15
285,256.9,112.01
286,181.45,96.56
287,97.66,57.74
288,154.64,63.75
289,168.58,82.97
290,100.64,56.17
291,102.03,32.25
292,106.06,35.08
293,104.19,33.88
294,211.61,225.3
295,231.79,229.86
296,216.28,231.87
297,201.67,179.89
298,319.29,148.5
299,241.18,99.57
300,211.67,233.31
301,280.43,72.24
302,261.8,64.94
303,253.6,123.06
304,226.98,99.2
305,239.45,142.51
306,243.61,83.34
307,227.03,66.98
308,127.24,72.53
309,134.72,64.51
310,147.1,58.82
311,163.71,245.6
312,146.09,40.14
313,110.9,35.53
314,135.37,59.93
315,179.1,64.93
316,187.21,66.04
317,130.52,31.69
318,186.66,68.89
319,281.5,195.1
320,137.14,57.88
321,176.59,48.29
322,201.42,37.84
323,228.56,29.3
324,196.94,48.91
325,168.5,34.44
326,142.23,70.91
327,229.5,99.4
328,181.61,35.53
329,186.29,80.7
330,172.31,70.35
331,265.02,85.43
332,218.51,32.35
333,155.54,53.79
334,140.44,127.61
335,185.0,73.25
336,178.42,129.03
337,183.92,136.03
338,165.05,129.73
339,182.17,173.91
340,139.81,166.11
341,162.35,173.69
342,158.99,154.67
343,133.18,209.91
344,139.66,253.1
345,125.64,195.88
346,164.87,185.71
347,138.32,187.37
348,154.68,225.31
349,160.93,211.1
350,110.84,65.38
351,121.85,56.06
352,105.77,74.62
353,69.82,44.44
354,194.57,26.21
355,172.03,88.86
356,118.71,74.18
357,200.65,29.68
358,143.34,22.07
359,339.02,68.68
360,138.22,76.23
361,120.84,21.43
362,209.6,23.4
363,195.92,33.73
364,191.26,29.15
365,189.46,28.31
366,168.79,27.69
367,267.7,42.47
368,167.36,44.31
369,141.98,21.36
370,185.14,28.14
371,171.32,38.04
372,148.33,36.36
373,110.03,30.03
374,181.33,28.51
375,233.09,51.79
376,199.93,25.27
377,157.51,34.58
378,183.91,203.54
379,185.43,209.47
380,169.6,202.09
381,186.76,260.14
382,177.46,233.53
383,176.57,158.02
384,145.73,217.51
385,156.48,199.99
386,159.46,211.6
387,128.29,187.69
388,158.46,185.6
389,170.21,253.08
390,142.07,191.56
391,162.45,209.86
392,174.09,313.05
393,181.55,316.12
394,140.09,254.17
395,154.5,204.24
396,250.5,233.36
397,125.99,77.62
398,236.91,277.08
399,183.83,26.58
400,248.03,26.21
401,239.08,38.63
402,110.75,66.39
403,219.51,60.77
404,184.7,32.79
405,198.85,21.82
406,191.39,47.61
407,199.46,40.14
408,161.32,32.69
409,292.5,75.98
410,178.75,49.9
411,196.24,52.57
412,211.26,30.59
413,290.2,68.74
414,330.15,85.44
415,172.84,51.23
416,313.11,51.38
417,255.51,63.54
418,194.1,161.37
419,268.81,90.02
420,128.79,68.94
421,164.82,78.28
422,148.6,65.72
423,128.79,68.94
424,150.83,60.75
425,250.62,162.71
426,168.78,65.49
427,225.69,124.67
428,264.52,154.27
429,212.16,152.62
430,212.43,131.44
431,165.65,71.32
432,201.36,132.63
433,209.31,142.37
434,100.98,34.77
435,102.97,23.96
436,131.39,47.75
437,97.48,35.79
438,108.87,19.88
439,106.32,22.72
440,108.3,26.56
441,134.65,21.1
442,102.04,20.04
443,126.48,23.52
444,123.57,28.51
445,124.21,45.97
446,122.53,30.98
447,126.54,21.75
448,193.55,26.21
449,239.25,23.87
450,248.69,21.69
451,199.85,21.17
452,104.79,82.95
453,290.31,43.13
454,219.06,32.74
455,98.54,122.47
456,116.83,125.35
457,136.57,137.13
458,205.41,25.92
459,92.58,68.15
460,131.19,92.69
461,97.98,115.6
462,82.05,24.36
463,81.6,22.17
464,77.43,26.47
465,286.37,75.27
466,77.83,22.52
467,82.05,27.65
468,85.85,24.32
469,214.69,161.79
470,255.59,165.02
471,78.64,20.84
472,226.97,152.35
473,260.2,95.96
474,308.85,68.86
475,205.47,159.16
476,308.81,128.59
477,301.11,123.14
478,280.0,119.58
